time,temp_max,temp_min,precipitation
2025-01-01,32.6,22.5,0.0
2025-01-02,32.9,21.4,0.0
2025-01-03,33.5,21.3,0.0
2025-01-04,33.1,19.5,0.0
2025-01-05,29.4,21.4,0.0
2025-01-06,30.1,20.1,0.0
2025-01-07,31.5,18.6,0.0
2025-01-08,30.8,20.2,0.0
2025-01-09,32.2,20.5,0.0
2025-01-10,31.5,20.5,0.0
2025-01-11,28.7,20.6,0.0
2025-01-12,30.1,20.8,0.0
2025-01-13,32.9,22.2,0.0
2025-01-14,33.1,21.8,0.0
2025-01-15,30.3,22.0,0.0
2025-01-16,29.9,20.4,0.0
2025-01-17,33.5,23.0,0.0
2025-01-18,34.2,22.4,0.0
2025-01-19,33.3,21.2,0.0
2025-01-20,33.3,21.1,0.0
2025-01-21,31.5,21.1,0.0
2025-01-22,31.6,20.5,0.0
2025-01-23,30.6,21.9,0.0
2025-01-24,31.9,20.6,0.0
2025-01-25,33.4,22.1,0.0
2025-01-26,33.6,21.9,0.0
2025-01-27,32.7,21.8,0.0
2025-01-28,30.6,21.4,0.0
2025-01-29,30.9,20.7,0.0
2025-01-30,31.5,20.3,0.0
2025-01-31,29.7,20.6,0.0
2025-02-01,29.3,20.1,0.0
2025-02-02,31.1,20.7,0.0
2025-02-03,29.1,20.9,0.0
2025-02-04,29.9,20.3,0.0
2025-02-05,31.7,21.1,0.0
2025-02-06,31.9,19.5,0.0
2025-02-07,34.5,22.4,0.0
2025-02-08,33.4,22.1,0.0
2025-02-09,33.2,22.8,0.0
2025-02-10,33.7,23.4,0.0
2025-02-11,32.5,21.9,0.0
2025-02-12,33.4,20.6,0.0
2025-02-13,35.0,21.6,0.0
2025-02-14,34.8,22.7,0.0
2025-02-15,35.3,22.2,0.0
2025-02-16,35.3,21.8,0.0
2025-02-17,34.4,21.0,0.0
2025-02-18,34.9,23.6,0.0
2025-02-19,33.6,23.4,0.0
2025-02-20,34.8,22.4,0.0
2025-02-21,36.8,24.8,0.0
2025-02-22,35.1,24.6,0.0
2025-02-23,35.9,23.8,0.0
2025-02-24,37.0,24.4,0.0
2025-02-25,37.6,24.9,0.0
2025-02-26,37.4,23.1,0.0
2025-02-27,35.9,24.1,0.0
2025-02-28,33.6,24.3,0.0
2025-03-01,33.8,24.7,0.0
2025-03-02,36.4,24.8,0.0
2025-03-03,36.3,24.5,0.0
2025-03-04,35.9,25.0,0.0
2025-03-05,37.0,24.4,0.0
2025-03-06,35.1,22.7,0.0
2025-03-07,37.1,24.6,0.0
2025-03-08,36.1,23.7,0.0
2025-03-09,35.8,23.1,0.0
2025-03-10,39.1,24.4,0.0
2025-03-11,37.6,25.7,0.0
2025-03-12,37.2,25.3,0.0
2025-03-13,34.4,25.0,0.0
2025-03-14,34.8,24.4,0.0
2025-03-15,35.6,24.9,0.0
2025-03-16,33.4,25.3,0.0
2025-03-17,33.7,25.0,0.0
2025-03-18,33.3,23.2,0.0
2025-03-19,32.5,23.3,0.0
2025-03-20,35.3,23.3,0.0
2025-03-21,32.6,25.4,0.0
2025-03-22,32.8,22.7,0.0
2025-03-23,34.0,23.9,0.0
